year,cpi_all_items,cat_food,cat_alcohol_tobacco,cat_clothing,cat_housing,cat_furniture,cat_health,cat_transport,cat_communication,cat_recreation,cat_education,cat_restaurants,cat_misc,cpi_all_items_yoy_inflation,cat_food_yoy_inflation,cat_alcohol_tobacco_yoy_inflation,cat_clothing_yoy_inflation,cat_housing_yoy_inflation,cat_furniture_yoy_inflation,cat_health_yoy_inflation,cat_transport_yoy_inflation,cat_communication_yoy_inflation,cat_recreation_yoy_inflation,cat_education_yoy_inflation,cat_restaurants_yoy_inflation,cat_misc_yoy_inflation
2005,78.10000000000001,71.50833333333334,62.875,120.91666666666667,64.30833333333334,83.09166666666667,75.65833333333333,74.91666666666667,87.45,98.09166666666665,40.44166666666666,74.15833333333333,82.83333333333333,2.0350173676104477,1.528075190583474,2.224167088445398,-5.108729226404875,6.36471867123679,-0.3390505143316032,2.8776129682792586,4.117255286520955,-2.2897852670344463,-1.1500721103669027,4.9094136369200685,3.366765525330693,4.301737045716291
2006,79.93333333333334,73.29166666666667,64.575,116.00833333333333,70.24166666666666,82.74166666666666,77.76666666666667,76.99166666666666,87.63333333333333,96.90833333333335,43.4,76.53333333333333,85.96666666666665,2.3453071145607756,2.4963654753962854,2.701602357323798,-4.058987833844024,9.196206695397121,-0.42475471918720825,2.784343410835868,2.794066579372117,0.20985692392105812,-1.204652689137702,7.237278289909876,3.204004725931318,3.7835342345694527
2007,81.78333333333333,76.58333333333333,66.85833333333333,111.7,73.73333333333333,84.22500000000001,80.38333333333334,79.275,84.72500000000001,96.0,49.31666666666666,79.225,87.79166666666667,2.317998325727274,4.493686692536088,3.54066902028346,-3.7094667625365183,5.099990872689145,1.7922699363859376,3.367307149371486,2.9683440033187494,-3.31911391787624,-0.937331340638022,13.653490235917038,3.5166376584853425,2.131382516244756
2008,84.72500000000001,83.55,69.47500000000001,104.36666666666667,80.075,85.94166666666666,82.85000000000001,83.74166666666666,82.5,95.39999999999999,55.050000000000004,82.25,89.98333333333333,3.5937821032975825,9.077918154116544,3.9081329302690597,-6.564617537564494,8.613443786976791,2.0437627501998237,3.0704482056145417,5.649033432424048,-2.6175213176994756,-0.6229670385560641,11.728277922273357,3.815416541757827,2.4955783041465636
2009,86.575,88.08333333333333,72.50833333333334,96.29166666666667,83.47500000000001,88.66666666666667,85.08333333333333,84.45833333333333,83.28333333333333,96.625,59.26666666666667,84.2,91.95833333333333,2.1908834010859377,5.555344306867603,4.377081940420354,-7.716489238124495,4.446454972657388,3.1675872104401446,2.693551009208291,0.8894624844389604,0.9572772360698903,1.2841030061917678,7.7089968920760255,2.3802508492507832,2.2003269188685968
2010,89.43333333333334,91.06666666666666,76.54166666666667,95.28333333333335,83.79166666666667,91.40833333333335,87.575,91.5,87.35000000000001,98.44166666666666,62.449999999999996,86.64166666666667,94.14166666666667,3.301691232823097,3.388693325070093,5.563965911913999,-1.0660387392794524,0.3811482395337101,3.1018008822647176,2.930368936184443,8.402320121880548,4.883833937969569,1.8867891899582823,5.371838678672273,2.897805253207416,2.373177165429676
2011,93.425,96.02499999999999,83.21666666666667,97.49166666666667,88.41666666666667,95.74166666666667,90.51666666666667,98.65833333333335,90.86666666666667,98.51666666666667,65.65,90.52499999999999,96.52499999999999,4.461611400343659,5.4555972601279334,8.706331566312581,2.3218406374709564,5.5127140527795,4.737729150330416,3.3598576269445033,7.831013123000033,4.034794532939356,0.07843815122602164,5.125730492125489,4.481820892234695,2.531320315723701
2012,96.04166666666667,99.14166666666667,88.21666666666665,98.27499999999999,92.825,98.48333333333333,93.19166666666666,100.89999999999999,94.54166666666667,98.65833333333335,71.375,93.33333333333333,98.69166666666666,2.8048476700085128,3.2516455075561983,6.028236421399964,0.8233892937418775,5.033328386235927,2.886470460956566,2.9585008013587824,2.2870266455787807,4.052562438731422,0.14701023015428472,8.591130160418318,3.101855758175526,2.2478015746068096
2013,98.50833333333333,102.86666666666667,93.74166666666667,99.19166666666666,96.61666666666667,99.13333333333333,95.5,101.88333333333333,97.40833333333335,99.70833333333333,83.63333333333334,95.8,99.7,2.570563735880832,3.7637425058141107,6.275879341174527,0.9446288091617275,4.086987669619273,0.6595504184413625,2.475757366932633,0.9764944418704116,3.0355675733386565,1.0649313259368114,17.510665314902685,2.6457209134715236,1.0237351045979022
2014,99.95833333333333,102.66666666666667,97.94166666666666,99.675,99.53333333333335,99.96666666666665,98.125,102.18333333333334,98.64999999999999,100.575,92.16666666666667,98.14166666666667,99.68333333333334,1.4743503185189208,-0.1884563226263883,4.480453137837605,0.4978909713595612,3.023639342607287,0.843047051104053,2.751979581784928,0.2916824549400352,1.2788325543708494,0.8699903067967473,10.210748819303296,2.4439798234081547,-0.014896496720536334
2015,100.00833333333333,100.00833333333333,99.99166666666667,100.0,100.00833333333333,100.0,100.0,99.98333333333333,99.98333333333333,100.00833333333333,99.97500000000001,100.00833333333333,100.0,0.05028570926654725,-2.587401023276839,2.105575038545693,0.3406011157795319,0.4782820046155656,0.03502836608797653,1.9111843991193609,-2.14914007671944,1.3521539815388284,-0.5625468270442701,8.5627789397551,1.9035935670791444,0.31907149316150374
2016,100.64999999999999,97.64166666666667,101.44166666666666,100.16666666666667,100.18333333333334,99.90833333333335,102.10833333333333,100.55,102.71666666666665,100.39999999999999,104.71666666666668,102.40833333333335,101.10833333333333,0.640772116406102,-2.364359653693691,1.4513414478866669,0.16179861686675492,0.17505981126733072,-0.0913926864441389,2.1085767606451977,0.5688581282387722,2.7353595356592897,0.39133733546154925,4.746428062030904,2.397592709792064,1.1086115781582029
2017,103.35833333333333,99.77499999999999,105.925,102.625,101.99166666666667,102.5,104.77499999999999,105.10833333333333,104.52499999999999,102.34166666666665,108.72500000000001,105.63333333333333,102.48333333333333,2.6889010728464338,2.191739303705818,4.419068622264255,2.453106630143954,1.8043476221794144,2.5953905419494383,2.6109323593213736,4.553195724317113,1.7626914452079312,1.9315314632473528,3.8408444063896687,3.1488786097424413,1.3609677243220781
2018,105.91666666666667,101.85000000000001,110.53333333333335,103.46666666666665,104.375,104.20833333333333,107.41666666666667,109.75,105.60000000000001,105.44166666666666,111.86666666666667,108.41666666666667,102.45,2.4769019707032602,2.0884507685588303,4.355925722306279,0.8510114610143616,2.335213346795243,1.6790825880986144,2.523013037294112,4.411211109579521,1.0278461545263415,3.0308762604329487,2.887665256130798,2.6354100279620245,-0.030889450231695134
2019,107.8,103.21666666666665,114.43333333333334,102.53333333333335,106.175,105.14166666666667,110.14166666666667,112.03333333333335,109.70833333333333,107.45,115.27499999999999,111.3,103.74166666666667,1.7794036355205767,1.342225520811885,3.536583273400902,-0.8982307586209354,1.7296097923031013,0.895808878199215,2.53622255882087,2.0991038430835443,3.891640096216681,1.910216867230554,3.0493022907360188,2.6599769420771264,1.2611562844342081
